image_id,file_name,length_cm,width_cm,height_cm,bbox_x,bbox_y,bbox_w,bbox_h,belt_y,side_sign
48,parcel_00048.jpg,18,65,31,205.99,197.75,97.01,44.21,160,-1
49,parcel_00049.jpg,27,46,40,186.24,173.68,93.8,71.13,167,1
50,parcel_00050.jpg,33,17,26,189.16,148.34,72.41,36.68,138,1
51,parcel_00051.jpg,55,26,46,56.01,175.15,83.94,42.98,161,-1
52,parcel_00052.jpg,78,46,42,95.81,182.96,168.72,57.37,159,-1
53,parcel_00053.jpg,41,18,57,21.22,169.55,53.16,44.81,140,1
54,parcel_00054.jpg,48,39,25,207.94,177.67,131.1,59.42,166,1
55,parcel_00055.jpg,57,21,38,39.33,209.75,89.31,34.89,154,-1
56,parcel_00056.jpg,87,29,22,149.64,181.4,114.34,27.49,168,-1
57,parcel_00057.jpg,42,65,43,60.88,176.26,83.75,50.83,165,1
58,parcel_00058.jpg,24,18,36,153.13,201.64,31.99,26.02,174,-1
59,parcel_00059.jpg,87,13,51,154.19,179.68,102.23,51.84,158,1
60,parcel_00060.jpg,20,26,46,114.89,193.3,54.7,50.81,132,-1
61,parcel_00061.jpg,86,52,15,21.36,183.74,131.7,24.23,136,1
62,parcel_00062.jpg,44,17,33,186.98,162.63,109.5,49.91,155,1
63,parcel_00063.jpg,63,33,26,186.36,198.18,125.32,41.49,138,1
64,parcel_00064.jpg,84,51,46,26.65,160.21,184.09,69.87,142,1
65,parcel_00065.jpg,77,26,38,199.67,167.41,141.3,45.81,140,-1
66,parcel_00066.jpg,82,17,22,162.79,203.18,131.9,33.97,153,-1
67,parcel_00067.jpg,88,68,56,60.58,155.0,221.96,100.33,157,-1
68,parcel_00068.jpg,62,42,36,203.29,185.51,104.21,48.96,167,-1
69,parcel_00069.jpg,74,36,58,83.18,166.47,106.41,62.54,154,-1
70,parcel_00070.jpg,85,53,38,25.19,158.96,159.06,63.15,133,1
71,parcel_00071.jpg,83,56,54,31.79,168.18,220.78,81.89,167,1
72,parcel_00072.jpg,71,21,36,91.64,191.27,142.51,50.86,161,1
73,parcel_00073.jpg,48,59,23,202.93,180.0,143.06,39.85,162,1
74,parcel_00074.jpg,57,39,42,170.3,178.65,148.77,62.67,173,1
75,parcel_00075.jpg,67,25,54,102.96,168.04,118.3,72.94,163,-1
76,parcel_00076.jpg,39,58,41,105.74,148.89,139.13,78.82,135,1
77,parcel_00077.jpg,27,55,16,256.12,196.25,83.7,34.22,158,-1
78,parcel_00078.jpg,69,59,21,194.18,178.8,135.68,38.46,165,-1
79,parcel_00079.jpg,46,13,53,67.9,160.53,93.47,70.8,138,-1
80,parcel_00080.jpg,90,50,29,172.63,199.8,179.14,36.52,155,-1
81,parcel_00081.jpg,45,56,14,56.01,204.81,111.33,24.61,147,1
82,parcel_00082.jpg,25,57,47,166.01,157.39,102.55,82.96,148,-1
83,parcel_00083.jpg,53,65,45,43.68,166.98,125.72,58.46,144,1
84,parcel_00084.jpg,31,60,18,27.82,160.31,88.21,35.94,154,-1
85,parcel_00085.jpg,60,24,39,38.11,186.25,108.71,56.54,143,-1
86,parcel_00086.jpg,88,16,42,192.12,187.38,121.4,45.83,150,-1
87,parcel_00087.jpg,31,53,40,97.18,177.69,113.34,72.95,175,-1
88,parcel_00088.jpg,48,45,31,240.51,174.05,99.36,33.3,157,-1
89,parcel_00089.jpg,90,59,42,216.43,203.62,136.36,40.41,156,1
90,parcel_00090.jpg,45,16,27,156.15,175.78,95.17,39.16,158,-1
91,parcel_00091.jpg,54,50,43,174.67,166.36,147.22,78.71,146,-1
92,parcel_00092.jpg,53,49,49,105.0,161.36,120.58,80.77,131,1
93,parcel_00093.jpg,80,17,32,134.25,191.13,130.94,47.02,172,1
94,parcel_00094.jpg,48,30,20,164.52,174.07,74.57,26.73,144,1
95,parcel_00095.jpg,90,32,49,48.71,176.52,106.58,45.67,149,-1
96,parcel_00096.jpg,79,16,49,185.58,173.23,111.04,54.09,160,-1
97,parcel_00097.jpg,28,54,8,190.24,185.75,80.02,17.6,155,1
98,parcel_00098.jpg,27,38,8,241.46,197.0,60.4,15.03,175,-1
99,parcel_00099.jpg,20,59,57,164.66,148.15,109.35,95.66,144,-1
100,parcel_00100.jpg,35,50,42,83.03,169.69,97.9,67.32,152,1
101,parcel_00101.jpg,81,49,37,24.97,163.49,154.41,55.68,149,1
102,parcel_00102.jpg,52,64,33,117.17,182.04,134.7,45.78,174,-1
103,parcel_00103.jpg,52,14,11,147.13,175.86,81.69,16.57,148,-1
104,parcel_00104.jpg,59,25,37,232.89,183.64,91.47,38.85,144,1
105,parcel_00105.jpg,47,43,46,119.42,160.64,129.27,95.36,164,-1
106,parcel_00106.jpg,82,32,14,121.52,192.6,174.8,30.5,168,-1
107,parcel_00107.jpg,56,19,48,54.62,169.11,120.07,65.73,153,-1
108,parcel_00108.jpg,40,32,53,262.33,163.59,92.37,89.77,161,-1
109,parcel_00109.jpg,88,56,34,157.79,162.98,203.85,52.07,141,-1
110,parcel_00110.jpg,68,21,28,117.71,201.17,113.49,34.15,175,1
111,parcel_00111.jpg,32,59,35,163.53,161.36,110.4,66.76,153,-1
112,parcel_00112.jpg,70,34,11,189.5,185.23,110.93,23.86,159,-1
113,parcel_00113.jpg,80,40,24,182.39,153.28,160.76,48.22,141,-1
114,parcel_00114.jpg,75,47,31,31.35,189.77,134.28,34.57,160,-1
115,parcel_00115.jpg,84,15,55,142.36,151.06,168.85,91.99,139,1
116,parcel_00116.jpg,81,35,8,132.22,168.39,181.03,23.13,161,-1
117,parcel_00117.jpg,69,33,35,132.78,183.68,121.72,36.13,147,1
118,parcel_00118.jpg,48,33,59,35.98,184.08,60.9,53.57,165,-1
119,parcel_00119.jpg,42,55,34,210.37,167.97,118.69,59.86,161,-1
120,parcel_00120.jpg,49,62,24,265.46,180.37,89.65,33.5,174,-1
121,parcel_00121.jpg,28,43,45,115.75,167.08,64.02,42.83,133,-1
122,parcel_00122.jpg,70,12,44,38.76,174.09,131.24,62.11,142,1
123,parcel_00123.jpg,67,29,57,25.76,157.35,138.09,93.29,162,1
124,parcel_00124.jpg,27,19,19,181.34,190.79,56.57,25.99,153,1
125,parcel_00125.jpg,44,69,48,119.12,168.16,95.34,59.97,163,-1
126,parcel_00126.jpg,75,43,24,46.01,167.66,176.65,38.82,154,1
127,parcel_00127.jpg,85,48,38,162.7,185.8,158.29,45.58,131,-1
128,parcel_00128.jpg,35,57,34,82.26,169.96,91.16,50.33,155,-1
129,parcel_00129.jpg,78,40,28,113.66,186.29,140.57,36.07,156,1
130,parcel_00130.jpg,59,55,57,164.77,148.01,127.49,64.93,131,-1
131,parcel_00131.jpg,36,17,28,31.19,159.68,60.47,35.69,140,-1
132,parcel_00132.jpg,26,24,10,143.02,229.55,37.3,12.01,156,1
133,parcel_00133.jpg,61,68,22,118.3,173.85,181.29,57.95,144,1
134,parcel_00134.jpg,41,39,24,132.78,174.66,84.65,27.37,130,-1
135,parcel_00135.jpg,70,53,13,38.76,177.12,164.35,25.43,151,-1
136,parcel_00136.jpg,75,27,45,153.59,175.47,149.26,63.81,165,-1
137,parcel_00137.jpg,19,70,57,208.33,162.72,96.66,93.28,161,-1
138,parcel_00138.jpg,37,47,11,274.97,222.86,86.98,19.44,167,1
139,parcel_00139.jpg,52,21,54,148.15,172.06,122.38,73.22,168,-1
140,parcel_00140.jpg,88,42,10,124.12,188.07,209.17,28.09,136,-1
141,parcel_00141.jpg,41,40,19,87.97,171.07,86.09,32.32,136,-1
142,parcel_00142.jpg,43,12,29,36.58,212.35,49.13,26.18,146,1
143,parcel_00143.jpg,71,20,37,121.62,155.83,104.32,49.48,133,1
144,parcel_00144.jpg,46,20,46,69.12,152.61,89.05,49.12,146,1
145,parcel_00145.jpg,20,41,27,56.92,195.59,70.51,43.04,151,-1
146,parcel_00146.jpg,21,20,28,101.14,176.04,38.6,26.45,138,-1
147,parcel_00147.jpg,57,14,59,240.54,162.7,70.74,50.7,142,1
148,parcel_00148.jpg,38,54,52,199.8,170.62,94.84,56.3,139,1
149,parcel_00149.jpg,78,46,56,58.47,154.79,132.44,75.61,139,-1
150,parcel_00150.jpg,83,35,37,97.79,150.64,150.5,48.05,133,-1
151,parcel_00151.jpg,55,63,54,209.53,196.06,104.46,48.59,142,-1
152,parcel_00152.jpg,73,34,52,174.39,140.25,157.23,71.12,133,-1
153,parcel_00153.jpg,32,25,24,177.29,196.96,85.74,40.32,169,1
154,parcel_00154.jpg,34,22,26,94.3,143.77,88.77,36.32,135,-1
155,parcel_00155.jpg,37,53,59,262.32,150.45,90.52,86.03,144,-1
156,parcel_00156.jpg,88,52,28,108.17,175.38,236.7,65.57,130,-1
157,parcel_00157.jpg,65,26,15,72.71,179.71,110.6,20.86,149,-1
158,parcel_00158.jpg,59,60,17,48.59,199.57,92.35,19.4,167,-1
159,parcel_00159.jpg,59,12,17,250.78,211.31,73.79,16.11,139,-1
160,parcel_00160.jpg,69,51,27,142.88,187.79,193.56,49.17,170,-1
161,parcel_00161.jpg,51,29,41,24.77,166.55,108.57,65.76,154,-1
162,parcel_00162.jpg,41,59,35,171.64,152.28,84.93,39.0,135,-1
163,parcel_00163.jpg,62,40,52,62.55,181.61,107.68,64.33,162,-1
164,parcel_00164.jpg,43,66,49,29.5,185.26,100.59,58.53,175,-1
165,parcel_00165.jpg,33,30,22,92.86,168.34,90.75,34.48,149,1
166,parcel_00166.jpg,54,52,37,180.45,161.69,155.86,78.63,155,1
167,parcel_00167.jpg,31,48,54,99.16,172.62,104.38,72.91,158,1
168,parcel_00168.jpg,47,34,53,157.39,164.09,85.69,61.01,137,-1
169,parcel_00169.jpg,71,47,20,131.84,158.06,182.08,47.23,151,1
170,parcel_00170.jpg,79,64,41,83.24,164.34,200.77,78.7,156,1
171,parcel_00171.jpg,58,54,49,229.14,183.19,102.34,52.57,142,-1
172,parcel_00172.jpg,62,25,19,79.79,186.99,140.06,32.57,133,1
173,parcel_00173.jpg,78,19,58,66.37,158.14,173.24,87.56,153,1
174,parcel_00174.jpg,45,25,8,128.81,184.95,99.14,15.92,139,-1
175,parcel_00175.jpg,77,52,24,116.14,174.69,168.57,44.54,164,1
176,parcel_00176.jpg,60,50,51,166.65,171.99,100.79,45.69,164,1
177,parcel_00177.jpg,88,49,56,160.34,168.36,159.89,80.0,167,1
178,parcel_00178.jpg,73,19,15,38.52,198.51,120.93,18.65,172,-1
179,parcel_00179.jpg,27,60,34,92.25,205.54,70.59,36.18,151,1
180,parcel_00180.jpg,35,40,30,218.03,182.36,99.82,62.96,172,-1
181,parcel_00181.jpg,54,59,24,256.29,184.11,106.39,30.96,147,-1
182,parcel_00182.jpg,61,18,33,135.34,173.59,101.58,44.65,166,-1
183,parcel_00183.jpg,89,29,22,51.25,200.92,195.59,40.4,138,-1
184,parcel_00184.jpg,83,42,41,199.82,144.5,115.38,47.26,130,-1
185,parcel_00185.jpg,42,39,38,60.29,162.19,95.37,49.36,141,-1
186,parcel_00186.jpg,76,14,10,121.51,228.27,100.4,17.4,173,1
187,parcel_00187.jpg,19,23,37,146.2,207.13,34.28,36.59,159,1
188,parcel_00188.jpg,44,19,11,277.32,223.35,76.03,16.28,131,-1
189,parcel_00189.jpg,82,68,15,146.94,171.97,186.5,36.51,166,1
190,parcel_00190.jpg,39,54,47,193.49,171.9,91.57,47.13,163,1
191,parcel_00191.jpg,80,30,34,196.93,181.04,107.8,35.43,171,-1
192,parcel_00192.jpg,29,61,38,260.27,206.41,65.49,38.79,171,1
193,parcel_00193.jpg,26,66,47,223.65,182.56,66.32,44.64,175,1
194,parcel_00194.jpg,58,69,44,93.28,167.75,157.64,77.95,159,1
195,parcel_00195.jpg,89,41,31,117.06,139.95,214.98,59.13,134,1
196,parcel_00196.jpg,31,50,40,236.69,181.86,60.51,34.88,172,-1
197,parcel_00197.jpg,56,49,38,30.96,173.5,92.65,43.72,168,1
198,parcel_00198.jpg,63,24,35,180.6,155.81,125.47,57.62,130,1
199,parcel_00199.jpg,63,18,46,246.03,158.81,85.43,50.28,136,1
200,parcel_00200.jpg,18,55,25,250.36,174.24,74.76,46.89,160,1
201,parcel_00201.jpg,34,12,19,240.85,153.62,64.85,30.67,132,-1
202,parcel_00202.jpg,34,22,33,213.53,150.03,94.35,60.54,143,1
203,parcel_00203.jpg,87,56,50,71.95,150.41,239.46,94.88,146,-1
204,parcel_00204.jpg,26,54,30,181.53,155.72,111.5,63.81,143,1
205,parcel_00205.jpg,18,29,53,108.29,163.09,64.2,70.1,152,-1
206,parcel_00206.jpg,55,49,52,42.71,162.58,116.24,77.64,157,1
207,parcel_00207.jpg,52,39,23,27.85,200.53,88.35,30.98,160,-1
208,parcel_00208.jpg,75,49,59,54.63,162.16,135.15,74.01,156,1
209,parcel_00209.jpg,89,55,31,80.44,183.74,197.03,57.47,162,1
210,parcel_00210.jpg,40,29,50,72.64,162.94,82.64,77.28,144,-1
211,parcel_00211.jpg,78,28,36,65.91,187.19,145.49,57.14,142,-1
212,parcel_00212.jpg,33,16,45,50.67,151.01,60.94,57.83,145,1
213,parcel_00213.jpg,20,17,23,326.71,201.26,36.45,24.0,133,-1
214,parcel_00214.jpg,24,61,41,109.14,187.33,81.35,57.82,172,-1
215,parcel_00215.jpg,33,60,50,165.69,145.56,100.48,83.89,136,1
216,parcel_00216.jpg,81,18,22,90.17,197.28,146.47,33.58,170,-1
217,parcel_00217.jpg,43,29,46,60.63,181.84,69.3,42.12,135,-1
218,parcel_00218.jpg,45,31,32,136.72,168.64,61.45,23.69,132,1
219,parcel_00219.jpg,72,16,51,267.84,199.07,89.55,45.93,170,-1
220,parcel_00220.jpg,74,29,10,103.09,203.45,121.91,19.74,151,1
221,parcel_00221.jpg,82,31,56,187.66,144.92,171.22,101.57,141,1
222,parcel_00222.jpg,58,33,41,259.14,163.47,96.09,55.53,150,1
223,parcel_00223.jpg,45,20,46,87.52,174.55,75.45,47.35,161,-1
224,parcel_00224.jpg,85,17,45,80.6,169.89,110.28,55.97,161,-1
225,parcel_00225.jpg,72,43,23,104.71,182.76,93.78,23.16,163,1
226,parcel_00226.jpg,34,41,23,131.98,160.88,86.27,39.15,139,-1
227,parcel_00227.jpg,35,35,48,218.01,166.7,97.12,73.6,159,1
228,parcel_00228.jpg,53,46,46,182.65,174.12,92.0,48.55,158,1
229,parcel_00229.jpg,36,48,44,105.67,174.96,120.92,76.01,174,1
230,parcel_00230.jpg,71,65,26,123.15,190.49,189.29,52.09,174,-1
231,parcel_00231.jpg,48,18,29,205.71,190.14,98.26,35.72,162,1
232,parcel_00232.jpg,19,51,33,228.92,168.07,68.41,45.3,157,1
233,parcel_00233.jpg,21,46,60,82.41,155.04,75.45,79.76,142,1
234,parcel_00234.jpg,18,49,28,47.66,182.16,78.25,48.76,157,-1
235,parcel_00235.jpg,19,57,31,114.08,191.79,79.73,50.95,170,1
236,parcel_00236.jpg,85,16,15,75.76,196.49,124.79,16.94,157,1
237,parcel_00237.jpg,79,13,21,47.66,161.26,130.22,25.06,139,1
238,parcel_00238.jpg,81,45,24,167.37,202.57,169.32,38.34,166,-1
239,parcel_00239.jpg,90,13,23,20.77,185.49,171.58,43.01,156,-1
240,parcel_00240.jpg,75,35,17,55.4,157.25,161.62,28.31,146,-1
241,parcel_00241.jpg,52,64,26,37.91,182.57,142.89,43.13,173,-1
242,parcel_00242.jpg,83,26,38,127.28,188.81,141.42,46.32,172,-1
243,parcel_00243.jpg,54,26,41,136.64,160.09,118.11,62.85,147,-1
244,parcel_00244.jpg,87,65,34,169.56,200.18,176.01,43.25,155,1
245,parcel_00245.jpg,27,23,12,252.96,219.05,40.52,11.03,132,1
246,parcel_00246.jpg,84,41,46,84.77,152.07,196.52,93.0,148,1
247,parcel_00247.jpg,42,15,55,75.02,148.99,90.99,101.41,152,1
248,parcel_00248.jpg,31,18,16,94.92,209.35,77.14,29.54,160,1
249,parcel_00249.jpg,88,31,16,112.43,148.65,111.9,16.53,135,1
250,parcel_00250.jpg,26,38,20,238.31,187.07,57.12,23.24,172,1
251,parcel_00251.jpg,90,53,14,159.38,171.48,123.26,20.02,134,1
252,parcel_00252.jpg,43,46,38,203.82,180.0,95.73,50.34,146,-1
253,parcel_00253.jpg,69,53,32,203.47,167.62,141.0,49.4,148,-1
254,parcel_00254.jpg,75,30,26,27.19,176.93,125.55,32.08,160,-1
255,parcel_00255.jpg,72,40,29,44.44,165.56,178.98,63.66,146,1
256,parcel_00256.jpg,60,37,10,171.13,198.46,88.63,12.72,162,1
257,parcel_00257.jpg,44,61,29,21.56,178.96,115.03,52.35,171,-1
258,parcel_00258.jpg,84,66,41,69.17,187.43,133.43,48.16,172,1
259,parcel_00259.jpg,34,54,23,204.1,177.86,74.34,38.34,167,1
260,parcel_00260.jpg,60,24,23,91.95,206.44,106.8,35.87,173,1
261,parcel_00261.jpg,56,13,34,45.99,164.09,90.4,41.85,149,1
262,parcel_00262.jpg,55,70,14,97.53,175.01,140.3,37.13,170,1
263,parcel_00263.jpg,33,22,31,120.44,164.81,65.36,40.18,148,1
264,parcel_00264.jpg,46,53,16,77.14,189.4,80.65,23.74,132,-1
265,parcel_00265.jpg,33,16,45,132.62,167.29,65.24,56.04,153,-1
266,parcel_00266.jpg,63,64,54,142.35,146.9,190.08,100.42,152,1
267,parcel_00267.jpg,69,40,40,181.06,173.87,108.66,48.77,168,-1
268,parcel_00268.jpg,26,32,41,29.38,204.39,50.08,39.57,150,-1
269,parcel_00269.jpg,36,65,39,176.99,155.96,83.64,43.5,151,-1
270,parcel_00270.jpg,69,54,30,111.4,178.7,112.4,35.19,135,-1
271,parcel_00271.jpg,19,66,44,141.15,185.14,89.95,47.55,170,-1
272,parcel_00272.jpg,88,68,49,186.76,193.39,139.17,50.15,170,-1
273,parcel_00273.jpg,40,64,38,107.1,165.46,144.44,76.83,155,1
274,parcel_00274.jpg,42,66,55,236.81,168.07,113.81,68.57,149,-1
275,parcel_00275.jpg,46,65,12,112.66,209.72,107.69,20.77,170,-1
276,parcel_00276.jpg,79,54,55,86.12,149.93,139.8,78.87,134,1
277,parcel_00277.jpg,71,16,59,202.52,170.18,100.65,73.15,164,1
278,parcel_00278.jpg,25,12,16,33.42,212.55,44.95,21.01,134,-1
279,parcel_00279.jpg,26,19,31,78.65,145.67,51.0,40.09,130,1
280,parcel_00280.jpg,33,26,45,193.75,199.03,59.08,46.19,145,-1
281,parcel_00281.jpg,66,53,33,97.64,168.81,159.78,62.97,150,1
282,parcel_00282.jpg,84,50,27,33.47,187.31,214.39,57.4,161,1
283,parcel_00283.jpg,66,65,37,100.39,182.11,155.16,54.81,171,-1
284,parcel_00284.jpg,46,57,21,110.91,198.67,116.14,35.82,173,1
285,parcel_00285.jpg,30,20,37,311.76,157.57,46.72,44.78,143,1
286,parcel_00286.jpg,74,57,9,21.01,216.93,124.94,23.19,143,1
287,parcel_00287.jpg,22,30,15,179.5,175.29,62.87,24.76,149,1
288,parcel_00288.jpg,76,68,14,113.25,200.46,147.45,24.74,170,1
289,parcel_00289.jpg,24,25,46,66.21,161.81,66.28,81.51,151,-1
290,parcel_00290.jpg,23,61,20,122.54,152.64,69.48,32.33,141,-1
291,parcel_00291.jpg,42,65,19,128.32,193.41,144.19,40.21,160,1
292,parcel_00292.jpg,21,69,8,100.96,225.63,62.35,18.97,138,1
293,parcel_00293.jpg,89,42,36,72.31,163.06,118.89,41.11,134,1
294,parcel_00294.jpg,67,55,30,152.04,170.03,173.54,53.96,151,1
295,parcel_00295.jpg,45,48,18,226.07,153.73,98.95,34.16,147,-1
296,parcel_00296.jpg,54,38,12,154.92,186.85,91.98,19.49,162,-1
297,parcel_00297.jpg,51,26,46,58.65,181.38,100.05,53.88,173,1
298,parcel_00298.jpg,48,20,17,259.34,206.36,103.58,27.24,172,1
299,parcel_00299.jpg,88,53,22,163.54,191.32,199.44,41.55,133,1
300,parcel_00300.jpg,49,34,32,228.68,161.8,125.02,62.66,130,-1
301,parcel_00301.jpg,33,38,16,38.13,164.93,58.71,23.09,157,-1
302,parcel_00302.jpg,37,35,52,176.16,169.66,88.74,63.62,163,1
303,parcel_00303.jpg,80,34,9,152.63,221.93,179.04,20.82,149,1
304,parcel_00304.jpg,21,54,20,182.6,208.29,68.26,37.35,134,-1
305,parcel_00305.jpg,87,61,12,194.65,154.93,135.74,23.38,149,1
306,parcel_00306.jpg,39,53,20,97.52,194.29,104.82,29.54,147,-1
307,parcel_00307.jpg,65,50,22,57.1,196.52,147.4,39.31,156,1
308,parcel_00308.jpg,78,41,25,163.02,158.24,182.35,43.92,130,-1
309,parcel_00309.jpg,26,47,43,74.27,181.41,57.8,43.21,169,1
310,parcel_00310.jpg,57,44,32,36.3,174.3,113.45,37.24,168,1
311,parcel_00311.jpg,26,48,28,91.14,173.62,87.08,47.73,143,-1
312,parcel_00312.jpg,24,22,23,264.36,204.47,65.73,37.69,169,1
313,parcel_00313.jpg,19,23,12,239.07,202.59,53.71,19.55,153,1
314,parcel_00314.jpg,49,40,58,263.93,183.86,97.88,61.4,173,1
315,parcel_00315.jpg,36,48,16,204.42,194.52,78.59,19.25,167,1
316,parcel_00316.jpg,75,36,52,23.61,155.52,177.9,79.25,149,-1
317,parcel_00317.jpg,37,51,8,102.32,204.72,101.01,25.15,152,1
318,parcel_00318.jpg,41,29,35,22.31,174.08,75.31,40.38,134,1
319,parcel_00319.jpg,27,32,10,65.13,163.2,69.55,21.39,146,-1
320,parcel_00320.jpg,69,51,36,217.07,193.27,130.93,46.92,152,-1
321,parcel_00321.jpg,68,55,38,173.08,194.17,129.37,48.36,151,1
322,parcel_00322.jpg,76,20,39,100.12,193.58,126.68,51.14,158,-1
323,parcel_00323.jpg,20,41,15,308.48,193.17,42.64,17.93,164,-1
324,parcel_00324.jpg,77,59,10,134.29,168.45,131.35,21.41,155,1
325,parcel_00325.jpg,21,37,45,45.5,154.33,73.48,84.08,148,1
326,parcel_00326.jpg,70,56,15,40.53,176.3,114.85,20.06,146,1
327,parcel_00327.jpg,41,32,20,173.35,186.97,107.07,37.8,136,-1
328,parcel_00328.jpg,40,26,27,26.33,178.27,85.16,48.44,172,1
329,parcel_00329.jpg,39,56,45,128.47,159.3,119.24,77.06,142,-1
330,parcel_00330.jpg,88,16,9,123.5,220.66,107.6,11.32,145,1
331,parcel_00331.jpg,60,25,39,61.85,164.64,132.75,66.92,146,-1
332,parcel_00332.jpg,65,67,8,110.75,210.14,171.47,23.82,138,1
333,parcel_00333.jpg,37,39,19,82.76,197.47,107.39,35.17,160,1
334,parcel_00334.jpg,78,70,43,92.22,169.22,181.06,66.12,146,1
335,parcel_00335.jpg,48,54,19,114.19,167.12,137.26,40.22,148,1
336,parcel_00336.jpg,48,50,45,66.31,171.28,126.4,77.25,173,-1
337,parcel_00337.jpg,37,12,23,199.55,151.08,81.61,40.03,137,1
338,parcel_00338.jpg,61,38,47,208.02,185.27,105.43,56.11,148,-1
339,parcel_00339.jpg,66,63,19,20.17,177.63,148.96,38.02,134,1
340,parcel_00340.jpg,58,57,11,43.44,158.43,162.05,26.6,135,-1
341,parcel_00341.jpg,50,37,36,57.71,172.72,75.72,39.87,161,1
342,parcel_00342.jpg,86,25,26,33.45,177.88,123.75,28.45,144,1
343,parcel_00343.jpg,70,54,27,204.46,185.33,129.49,42.82,173,-1
344,parcel_00344.jpg,40,42,11,120.58,160.92,121.48,25.16,154,-1
345,parcel_00345.jpg,72,17,53,163.77,149.64,137.61,84.88,141,-1
346,parcel_00346.jpg,49,31,32,66.43,202.36,108.67,43.01,175,-1
347,parcel_00347.jpg,88,54,26,85.78,196.44,185.01,41.54,132,1
348,parcel_00348.jpg,70,63,20,254.4,178.32,108.56,28.05,139,-1
349,parcel_00349.jpg,85,64,47,87.07,159.62,210.36,79.43,139,1
350,parcel_00350.jpg,34,47,44,79.39,159.8,120.98,86.41,171,1
351,parcel_00351.jpg,89,56,57,132.45,151.89,184.56,100.98,161,-1
